id,label,label_desc
0,37,Shoulder Press (dumbbell)
1,26,Non-Exercise
2,3,Biceps Curl (band)
3,26,Non-Exercise
4,26,Non-Exercise
5,26,Non-Exercise
6,26,Non-Exercise
7,26,Non-Exercise
8,26,Non-Exercise
9,26,Non-Exercise
10,26,Non-Exercise
11,26,Non-Exercise
12,39,Side Plank Right side
13,28,Plank
14,26,Non-Exercise
15,26,Non-Exercise
16,26,Non-Exercise
17,26,Non-Exercise
18,26,Non-Exercise
19,26,Non-Exercise
20,6,Chest Press (rack)
21,60,Wall Squat
22,35,Russian Twist
23,34,Running (treadmill)
24,30,Pushup (knee or foot variation)
25,26,Non-Exercise
26,59,Wall Ball
27,26,Non-Exercise
28,26,Non-Exercise
29,15,Dynamic Stretch (at your own pace)
30,40,Sit-up (hands positioned behind head)
31,6,Chest Press (rack)
32,26,Non-Exercise
33,50,Tap Right Device
34,26,Non-Exercise
35,26,Non-Exercise
36,26,Non-Exercise
37,26,Non-Exercise
38,26,Non-Exercise
39,30,Pushup (knee or foot variation)
40,48,Static Stretch (at your own pace)
41,8,Device on Table
42,26,Non-Exercise
43,26,Non-Exercise
44,26,Non-Exercise
45,54,Triceps extension (lying down)
46,16,Elliptical machine
47,4,Burpee
48,58,Walking lunge
49,21,Lateral Raise
50,18,Jump Rope
51,26,Non-Exercise
52,51,Triceps Kickback (knee on bench) (label spans both arms)
53,18,Jump Rope
54,25,Medicine Ball Slam
55,28,Plank
56,24,"Lunge (alternating both legs, weight optional)"
57,28,Plank
58,26,Non-Exercise
59,26,Non-Exercise
60,17,Fast Alternating Punches
61,39,Side Plank Right side
62,26,Non-Exercise
63,49,Static stretch
64,37,Shoulder Press (dumbbell)
65,47,Squat Rack Shoulder Press
66,26,Non-Exercise
67,28,Plank
68,26,Non-Exercise
69,25,Medicine Ball Slam
70,26,Non-Exercise
71,54,Triceps extension (lying down)
72,27,Overhead Triceps Extension
73,36,Seated Back Fly
74,26,Non-Exercise
75,27,Overhead Triceps Extension
76,2,Bicep Curl
77,3,Biceps Curl (band)
78,47,Squat Rack Shoulder Press
79,38,Side Plank Left side
80,26,Non-Exercise
81,48,Static Stretch (at your own pace)
82,49,Static stretch
83,49,Static stretch
84,14,Dumbbell Squat (hands at side)
85,8,Device on Table
86,26,Non-Exercise
87,26,Non-Exercise
88,8,Device on Table
89,26,Non-Exercise
90,26,Non-Exercise
91,26,Non-Exercise
92,26,Non-Exercise
93,60,Wall Squat
94,21,Lateral Raise
95,10,Dumbbell Deadlift Row
96,26,Non-Exercise
97,26,Non-Exercise
98,26,Non-Exercise
99,26,Non-Exercise
100,26,Non-Exercise
101,15,Dynamic Stretch (at your own pace)
102,36,Seated Back Fly
103,55,"Two-arm Dumbbell Curl (both arms, not alternating)"
104,26,Non-Exercise
105,26,Non-Exercise
106,40,Sit-up (hands positioned behind head)
107,26,Non-Exercise
108,26,Non-Exercise
109,26,Non-Exercise
110,26,Non-Exercise
111,26,Non-Exercise
112,36,Seated Back Fly
113,57,Walk
114,26,Non-Exercise
115,26,Non-Exercise
116,50,Tap Right Device
117,55,"Two-arm Dumbbell Curl (both arms, not alternating)"
118,0,Arm Band Adjustment
119,2,Bicep Curl
120,26,Non-Exercise
121,1,Band Pull-Down Row
122,49,Static stretch
123,46,Squat Jump
124,43,"Squat (arms in front of body, parallel to ground)"
125,26,Non-Exercise
126,51,Triceps Kickback (knee on bench) (label spans both arms)
127,28,Plank
128,26,Non-Exercise
129,17,Fast Alternating Punches
130,26,Non-Exercise
131,52,Triceps Kickback (knee on bench) (left arm)
132,26,Non-Exercise
133,53,Triceps Kickback (knee on bench) (right arm)
134,26,Non-Exercise
135,26,Non-Exercise
136,26,Non-Exercise
137,26,Non-Exercise
138,5,Butterfly Sit-up
139,26,Non-Exercise
140,50,Tap Right Device
141,0,Arm Band Adjustment
142,26,Non-Exercise
143,26,Non-Exercise
144,26,Non-Exercise
145,35,Russian Twist
